,street,project,marketSegment,propertyType,enBlock,tenure,annual_appreciation,noOfTransactions,initialYear,leaseCommencement,leaseRemaining
3323,JALAN KELICHAP,TAI KENG VILLAS,OCR,Terrace,False,Leasehold,0.23584480000000005,3712,2016,1996.0,79.0
2355,RIFLE RANGE ROAD,MAYFAIR GARDENS (DEMOLISHED),RCR,Condominium,True,Leasehold,0.23451273630442485,1692,2016,1983.0,66.0
2023,ROSYTH ROAD,LANDED HOUSING DEVELOPMENT,OCR,Terrace,False,Freehold,0.23062678934867584,1514,2016,1886.0,869.0
792,HOUGANG AVENUE 2,FLORENCE REGENCY,OCR,Apartment,True,Leasehold,0.2284176367673107,4311,2016,1985.0,72.0
1211,CHUAN WALK,LA QUINTA PARK,OCR,Terrace,False,Freehold,0.22814596221764594,942,2017,1877.0,859.0
911,JALAN LIMAU KASTURI,GREEN PARK,OCR,Terrace,False,Freehold,0.22455283859156447,936,2017,1878.0,860.0
2062,SIRAT ROAD,LANDED HOUSING DEVELOPMENT,OCR,Terrace,False,Freehold,0.22179487179487184,1112,2017,1878.0,860.0
1931,MOUNT SINAI DRIVE,LANDED HOUSING DEVELOPMENT,CCR,Semi-detached,False,Freehold,0.2031102244325604,714,2018,1885.0,866.0
3750,MARIGOLD DRIVE,THOMSON PLAZA,RCR,Apartment,False,Leasehold,0.20145454545454544,478,2017,1976.0,58.0
1986,PHILLIPS AVENUE,LANDED HOUSING DEVELOPMENT,OCR,Semi-detached,False,Freehold,0.19976960113628967,3086,2016,1886.0,869.0
